category,cooking_method,cuisine,image,ingredients,prep_time,recipe_name,serves,tags,category_encoded,cooking_method_encoded,cuisine_encoded,ingredients_str
main course,baking,italian,https://example.com/lasagna.jpg,"['lasagna sheets', 'ricotta', 'ground beef', 'tomato sauce']",60,Classic Lasagna,6,"['dairy', 'kid friendly']",1,0,12,lasagna sheets ricotta ground beef tomato sauce
snack,frying,indian,https://example.com/samosa.jpg,"['potatoes', 'peas', 'flour', 'spices', 'oil']",45,Samosa,4,"['vegan', 'spicy']",3,3,11,potatoes peas flour spices oil
dessert,baking,french,https://example.com/macaron.jpg,"['almond flour', 'egg whites', 'sugar', 'food coloring']",120,French Macarons,12,"['gluten free', 'sweet']",0,0,8,almond flour egg whites sugar food coloring
side dish,boiling,japanese,https://example.com/miso_soup.jpg,"['miso paste', 'tofu', 'green onions', 'seaweed']",15,Miso Soup,4,"['low carb', 'vegetarian']",2,1,13,miso paste tofu green onions seaweed
main course,grilling,american,https://example.com/bbq_ribs.jpg,"['pork ribs', 'barbecue sauce', 'spices']",60,BBQ Ribs,4,"['kid friendly', 'spicy']",1,4,1,pork ribs barbecue sauce spices
dessert,baking,italian,https://example.com/tiramisu.jpg,"['mascarpone', 'coffee', 'ladyfingers', 'cocoa powder']",30,Tiramisu,8,"['dairy', 'sweet']",0,0,12,mascarpone coffee ladyfingers cocoa powder
snack,steaming,chinese,https://example.com/dumplings.jpg,"['pork', 'cabbage', 'soy sauce', 'ginger', 'garlic']",40,Chinese Dumplings,4,"['low carb', 'kid friendly']",3,6,6,pork cabbage soy sauce ginger garlic
main course,boiling,thai,https://example.com/tom_yum.jpg,"['shrimp', 'lemongrass', 'chili paste', 'mushrooms']",30,Tom Yum Soup,4,"['spicy', 'keto']",1,1,18,shrimp lemongrass chili paste mushrooms
snack,baking,mexican,https://example.com/nachos.jpg,"['corn chips', 'cheese', 'jalapeños', 'salsa']",20,Nachos,4,"['vegetarian', 'quick']",3,0,16,corn chips cheese jalapeños salsa
main course,frying,indian,https://example.com/butter_chicken.jpg,"['chicken', 'butter', 'cream', 'tomatoes']",50,Butter Chicken,4,"['dairy', 'spicy']",1,3,11,chicken butter cream tomatoes
dessert,roasting,american,https://example.com/apple_pie.jpg,"['apples', 'sugar', 'cinnamon', 'pie crust']",90,Apple Pie,6,"['vegetarian', 'sweet']",0,5,1,apples sugar cinnamon pie crust
main course,boiling,italian,https://example.com/spaghetti_carbonara.jpg,"['spaghetti', 'eggs', 'pancetta', 'parmesan']",30,Spaghetti Carbonara,4,"['quick', 'dairy']",1,1,12,spaghetti eggs pancetta parmesan
snack,frying,american,https://example.com/onion_rings.jpg,"['onions', 'flour', 'bread crumbs', 'oil']",25,Onion Rings,4,"['vegetarian', 'kid friendly']",3,3,1,onions flour bread crumbs oil
side dish,grilling,japanese,https://example.com/yakitori.jpg,"['chicken skewers', 'soy sauce', 'mirin', 'sugar']",35,Yakitori,4,"['low carb', 'keto']",2,4,13,chicken skewers soy sauce mirin sugar
